,headline,cities,accented_city,latitude,longitude,countrycode,pop,cluster
0,Zika Outbreak Hits Miami,Miami,Miami,25.77427,-80.19366,US,441003.0,0
1,Could Zika Reach New York City?,New York City,New York City,40.71427,-74.00596999999999,US,8175133.0,0
2,First Case of Zika in Miami Beach,Miami Beach,Miami Beach,25.79065,-80.13005,US,92312.0,0
3,"Mystery Virus Spreads in Recife, Brazil",Recife,Recife,-8.053889999999999,-34.88111,BR,1478098.0,2
4,Dallas man comes down with case of Zika,Dallas,Dallas,32.78306,-96.80667,US,1300092.0,0
5,Trinidad confirms first Zika case,Trinidad,Trinidad,-14.833329999999998,-64.9,BO,84259.0,0
6,Zika Concerns are Spreading in Houston,Houston,Houston,29.763279999999998,-95.36327,US,2296224.0,0
7,Geneve Scientists Battle to Find Cure,Geneve,Genève,46.202220000000004,6.14569,CH,183981.0,2
8,The CDC in Atlanta is Growing Worried,Atlanta,Atlanta,33.749,-84.38798,US,463878.0,0
9,Zika Infested Monkeys in Sao Paulo,Sao Paulo,São Paulo,-23.5475,-46.636109999999995,BR,10021295.0,0
10,Brownsville teen contracts Zika virus,Brownsville,Brownsville,25.90175,-97.49748000000001,US,183887.0,0
11,Mosquito control efforts in St. Louis take new tactics with Zika threat,St. Louis,St. Louis,38.62727,-90.19789,US,315685.0,0
12,San Juan reports 1st U.S. Zika-related death amid outbreak,San Juan,San Juan,-31.5375,-68.53639,AR,447048.0,0
13,"Flu outbreak in Galveston, Texas",Galveston,Galveston,29.30135,-94.7977,US,50180.0,0
14,Zika alert - Manila now threatened,Manila,Manila,14.6042,120.9822,PH,1600000.0,1
15,Zika afflicts 7 in Iloilo City,Iloilo,Iloilo,10.69694,122.56443999999999,PH,387681.0,1
16,New Los Angeles Hairstyle goes Viral,Los Angeles,Los Angeles,34.05223,-118.24368,US,3971883.0,0
18,Orlando volunteers aid Zika research,Orlando,Orlando,28.53834,-81.37924,US,270934.0,0
20,Chicago's First Zika Case Confirmed,Chicago,Chicago,41.85003,-87.65005,US,2720546.0,0
21,Tampa Bay Area Zika Case Count Climbs,Tampa,Tampa,27.94752,-82.45843,US,369075.0,0
22,"Bad Water Leads to Sickness in Flint, Michigan",Flint,Flint,43.01253,-83.68746,US,98310.0,0
23,Baltimore plans for Zika virus,Baltimore,Baltimore,39.29038,-76.61219,US,621849.0,0
24,London Health Unit Tracks Mad Cow Disease,London,London,51.50853,-0.12574000000000002,GB,7556900.0,2
25,Zika cases in Vietnam's Ho Chi Minh City surge,Ho Chi Minh City,Ho Chi Minh City,10.82302,106.62965,VN,3467331.0,1
26,Philadelphia experts track pandemic,Philadelphia,Philadelphia,39.952329999999996,-75.16379,US,1567442.0,0
27,Flu season hits Boston,Boston,Boston,42.35843,-71.05977,US,667137.0,0
28,Scientists in Paris to look for answers,Paris,Paris,48.85341,2.3488,FR,2138551.0,2
29,Key Zika Findings in San Diego Institute,San Diego,San Diego,32.715709999999994,-117.16471999999999,US,1394928.0,0
30,Thailand-Zika Virus in Bangkok,Bangkok,Bangkok,13.753979999999999,100.50144,TH,5104476.0,1
31,Beijing team cracks Zika secret,Beijing,Beijing,39.9075,116.39723000000001,CN,11716620.0,1
32,Zika spreading to Salvador,Salvador,Salvador,-12.971110000000001,-38.51083,BR,2711840.0,2
33,Kuala Lumpur is Hit By Zika Threat,Kuala Lumpur,Kuala Lumpur,3.1412,101.68653,MY,1453975.0,1
34,First Zika case confirmed in Yangon,Yangon,Yangon,16.80528,96.15611,MM,4477638.0,1
35,Tallahassee Doctors Discuss Zika Virus,Tallahassee,Tallahassee,30.438259999999996,-84.28073,US,189907.0,0
36,Zika Virus Reaches San Francisco,San Francisco,San Francisco,37.77493,-122.41942,US,864816.0,0
37,New Vaccine on Trial in Bethesda District,Bethesda,Bethesda,38.98067,-77.10025999999999,US,60858.0,0
38,Townsville Zika tests inconclusive,Townsville,Townsville,-19.266389999999998,146.80569,AU,196219.0,1
39,Mandaluyong City under Siege by Virus,Mandaluyong City,Mandaluyong City,14.5832,121.0409,PH,305576.0,1
40,Hepatitis E re-emerges in Santa Rosa,Santa Rosa,Santa Rosa,14.312220000000002,121.11138999999999,PH,216650.0,1
41,Zika worries in San Salvador,San Salvador,San Salvador,13.68935,-89.18718,SV,525990.0,0
42,Zika virus reported in Cleveland,Cleveland,Cleveland,41.4995,-81.69541,US,388072.0,0
43,More Zika patients reported in Austin,Austin,Austin,30.26715,-97.74306,US,931830.0,0
44,"Zika outbreak in Piracicaba, Brazil",Piracicaba,Piracicaba,-22.725279999999998,-47.64917,BR,342209.0,0
45,Lima tries to address Zika Concerns,Lima,Lima,-12.04318,-77.02824,PE,7737002.0,0
46,More people in Toronto are infected with Hepatitis E every year,Toronto,Toronto,43.700109999999995,-79.4163,CA,2600000.0,0
47,18 new Zika Cases in Bogota,Bogota,Bogotá,4.60971,-74.08175,CO,7674366.0,0
49,Brisbane is infested with Meningitis,Brisbane,Brisbane,-27.467940000000002,153.02809,AU,2189878.0,1
50,Cholera outbreak in Dakar,Dakar,Dakar,14.6937,-17.44406,SN,2476400.0,2
51,Zika Virus Transmission Detected in Havana,Havana,Havana,23.133020000000002,-82.38304000000001,CU,2163824.0,0
52,Zika symtomps spotted in Key West,Key West,Key West,24.555239999999998,-81.78163,US,25755.0,0
53,Case of Measles Reported in Vancouver,Vancouver,Vancouver,49.24966,-123.11934,CA,600000.0,0
54,"Seattle scientists get $500,000 grant to pursue Zika vaccine New 7:50 pm",Seattle,Seattle,47.60621,-122.33207,US,684451.0,0
55,Nashville takes precautions against Zika,Nashville,Nashville,36.165890000000005,-86.78444,US,530852.0,0
56,Saint Croix under Zika threat,Saint Croix,Saint Croix,17.727510000000002,-64.74698000000001,VI,50601.0,0
57,Fort Collins Encounters Severe Symptoms of Gonorrhea,Fort Collins,Fort Collins,40.58526,-105.08442,US,161175.0,0
58,"Zika surfaces in Klang, Malaysia",Klang,Klang,3.03667,101.44333,MY,879867.0,1
59,Rumors about Meningitis spreading in Guatemala City have been refuted,Guatemala City,Guatemala City,14.640720000000002,-90.51326999999999,GT,994938.0,0
60,Madison lab developing vaccine against Zika virus [The Wisconsin State Journal],Madison,Madison,43.07305,-89.40123,US,248951.0,0
61,New Zika Case Confirmed in Sarasota County,Sarasota,Sarasota,27.33643,-82.53065,US,55118.0,0
62,Lower Hospitalization in Entebbe after Rabies Vaccine becomes Mandatory,Entebbe,Entebbe,0.05621,32.479490000000006,UG,62969.0,2
64,Second Zika Paitient in Brasilia,Brasilia,Brasília,-15.779720000000001,-47.92972,BR,2207718.0,0
65,Jacksonville man hit by Zika,Jacksonville,Jacksonville,30.332179999999997,-81.65565,US,868031.0,0
66,Schools in Shenzhen Closed Due to Malaria Outbreak,Shenzhen,Shenzhen,22.54554,114.0683,CN,10358381.0,1
67,Caracas patient dies,Caracas,Caracas,10.488010000000001,-66.87919000000001,VE,3000000.0,0
68,More Quezon City Zika Transmissions,Quezon City,Quezon City,14.6488,121.0509,PH,2761720.0,1
69,Schools in Sydney Closed Due to Respiratory Syncytial Virus Outbreak,Sydney,Sydney,-33.86785,151.20731999999998,AU,4627345.0,1
70,Mumbai's Health Minister warns of more Zika cases,Mumbai,Mumbai,19.07283,72.88261,IN,12691836.0,1
71,Pune woman diagnosed with Zika,Pune,Pune,18.51957,73.85535,IN,2935744.0,1
72,Hospitals in Hanoi fill up with Zika patients,Hanoi,Hanoi,21.0245,105.84116999999999,VN,1431270.0,1
74,Authorities are Worried about the Spread of Bronchitis in Silver Spring,Silver Spring,Silver Spring,38.99067,-77.02609,US,71452.0,0
75,Zika: Delhi for strict monitoring,Delhi,Delhi,28.65195,77.23149000000001,IN,10927986.0,1
77,Belize City under threat from Zika,Belize City,Belize City,17.49952,-88.19756,BZ,61461.0,0
78,"Student sick in Campinas, Brazil",Campinas,Campinas,-22.90556,-47.060829999999996,BR,1031554.0,0
79,More Zika cases in Soyapango,Soyapango,Soyapango,13.710239999999999,-89.13989000000001,SV,329708.0,0
80,Authorities are Worried about the Spread of Mad Cow Disease in Rome,Rome,Rome,41.89193,12.511330000000001,IT,2318895.0,2
81,Seoul confirms 14th Zika infection,Seoul,Seoul,37.566,126.9784,KR,10349312.0,1
82,Hepatitis B Vaccine is now Required in Quebec,Quebec,Québec,46.81228,-71.21454,CA,528595.0,0
83,Zika outbreak spreads to Mexico City,Mexico City,Mexico City,19.42847,-99.12765999999999,MX,12294193.0,0
84,Rochester authorities confirmed the spread of Dengue,Rochester,Rochester,43.15478,-77.61556,US,209802.0,0
85,El Paso fighting Zika,El Paso,El Paso,31.75872,-106.48693,US,681124.0,0
86,Visitor to Cucuta contracts Zika,Cucuta,Cúcuta,7.893910000000001,-72.50782,CO,721398.0,0
87,Zika now spreading through Jakarta,Jakarta,Jakarta,-6.21462,106.84513000000001,ID,8540121.0,1
89,Salt Lake City tests new cure for Respiratory Syncytial Virus,Salt Lake City,Salt Lake City,40.76078,-111.89105,US,192672.0,0
90,Zika San Antonio Patient Speaks Out,San Antonio,San Antonio,29.424120000000002,-98.49363000000001,US,1469845.0,0
91,Ebola outbreak in Kampala,Kampala,Kampala,0.31628,32.582190000000004,UG,1353189.0,2
92,Precautionary Zika measures in Rockhampton,Rockhampton,Rockhampton,-23.38032,150.50595,AU,61724.0,1
93,Zika arrives in Tegucigalpa,Tegucigalpa,Tegucigalpa,14.0818,-87.20681,HN,850848.0,0
94,New Zika Case Confirmed in Belo Horizonte,Belo Horizonte,Belo Horizonte,-19.92083,-43.93778,BR,2373224.0,0
95,Case of Hepatitis E Reported in Melbourne,Melbourne,Melbourne,-37.814,144.96331999999998,AU,4246375.0,1
96,First Columbus Zika case,Columbus,Columbus,39.96118,-82.99879,US,850106.0,0
97,New medicine wipes out Tuberculosis in Taipei,Taipei,Taipei,25.04776,121.53185,TW,7871900.0,1
98,"Zika Patient in Seminole, Florida",Seminole,Seminole,27.83975,-82.79120999999999,US,18153.0,0
99,Antipolo under threat from Zika Virus,Antipolo,Antipolo,14.625779999999999,121.12251,PH,549543.0,1
100,Spreading Zika reaches Bacoor,Bacoor,Bacoor,14.458960000000001,120.93851000000001,PH,356974.0,1
101,Can Zika make it here to Vero Beach?,Can,Çan,40.03328,27.052359999999997,TR,26201.0,2
102,Zika afflicts patient in Calamba,Calamba,Calamba,14.211670000000002,121.16528000000001,PH,316612.0,1
103,Hollywood Outbreak Film Premieres,Hollywood,Hollywood,34.09834,-118.32673999999999,US,167664.0,0
104,Petaling Jaya man ill from Zika,Petaling Jaya,Petaling Jaya,3.1072599999999997,101.60670999999999,MY,520698.0,1
105,Malaria is Spreading in Johannesburg,Johannesburg,Johannesburg,-26.202270000000002,28.04363,ZA,2026469.0,2
106,Authorities are Worried about the Spread of Norovirus in Buenos Aires,Buenos Aires,Buenos Aires,-34.61315,-58.377230000000004,AR,13076300.0,0
107,Guangzhou Patient in Critical Condition after Contracting Swine Flu,Guangzhou,Guangzhou,23.116670000000003,113.25,CN,11071424.0,1
108,Doral hit by Deadly Virus,Doral,Doral,25.81954,-80.35533000000001,US,56035.0,0
109,Tokyo Encounters Severe Symptoms of Meningitis,Tokyo,Tokyo,35.6895,139.69171,JP,8336599.0,1
110,Rabies Exposure in Hamilton,Hamilton,Hamilton,43.25011,-79.84963,CA,519949.0,0
111,Authorities are Worried about the Spread of Influenza in Savannah,Savannah,Savannah,32.08354,-81.09983000000001,US,145674.0,0
112,Zika Outbreak in Hyderabad,Hyderabad,Hyderabad,17.38405,78.45636,IN,3597816.0,1
113,Birmingham Residents Recieve Rabies vaccine,Birmingham,Birmingham,52.48141999999999,-1.89983,GB,984333.0,2
114,Is Zika virus in Majuro?,Majuro,Majuro,7.08971,171.38027,MH,25400.0,1
115,Spreading Zika ruining Cancun fun,Cancun,Cancún,21.17429,-86.84656,MX,628306.0,0
116,Cancun hit by Outbreak of Party Fever!,Cancun,Cancún,21.17429,-86.84656,MX,628306.0,0
117,HIV has Arrived in Fairfax,Fairfax,Fairfax,38.84622,-77.30637,US,24013.0,0
118,Spanish Flu Outbreak in Barcelona,Barcelona,Barcelona,41.38879,2.15899,ES,1621537.0,2
119,Santa Barbara tests new cure for Hepatitis C,Santa Barbara,Santa Barbara,34.42083,-119.69819,US,91842.0,0
120,Spring break ruined by Zika in Fort Lauderdale,Spring,Spring,30.07994,-95.41716,US,54298.0,0
121,Villavicencio under Zika threat,Villavicencio,Villavicencio,4.1419999999999995,-73.62664000000001,CO,321717.0,0
122,Two more Zika cases confirmed in Laredo,Laredo,Laredo,27.50641,-99.50754,US,255473.0,0
123,New Delhi Addressing Zika Concerns,New Delhi,New Delhi,28.635759999999998,77.22445,IN,317797.0,1
124,"New Zika Case in Kota Kinabalu, Malaysia",Kota Kinabalu,Kota Kinabalu,5.9749,116.0724,MY,457326.0,1
125,New medicine wipes out West Nile Virus in Ventura,Ventura,Ventura,34.27834,-119.29316999999999,US,96769.0,0
126,Meningitis re-emerges in Nassau,Nassau,Nassau,25.05823,-77.34306,BS,227940.0,0
127,"Zika reaches Johor Bahru, Malaysia",Johor Bahru,Johor Bahru,1.4655,103.7578,MY,802489.0,1
128,Nha Trang Zika Outbreak,Nha Trang,Nha Trang,12.24507,109.19431999999999,VN,283441.0,1
129,First Zika Case in Cincinnati,Cincinnati,Cincinnati,39.127109999999995,-84.51439,US,296943.0,0
130,Molo Cholera Spread Causing Concern,Molo,Molo,-0.24849000000000002,35.73194,KE,27896.0,2
131,Norovirus Exposure in Hong Kong,Hong Kong,Hong Kong,22.27832,114.17468999999998,HK,7012738.0,1
132,19 new Zika Cases in Sengkang,Sengkang,Sengkang,-4.1279,120.0297,ID,59523.0,1
133,Zika cases concern Charlotte residents,Charlotte,Charlotte,35.227090000000004,-80.84313,US,827097.0,0
134,Batangas Tourism Takes a Hit as Virus Spreads,Batangas,Batangas,13.7567,121.0584,PH,237370.0,1
135,Johannesburg Patient in Critical Condition after Contracting Pneumonia,Johannesburg,Johannesburg,-26.202270000000002,28.04363,ZA,2026469.0,2
136,Outbreak of Zika in Bacolod City,Bacolod City,Bacolod City,10.66667,122.95,PH,454898.0,1
137,Respiratory Syncytial Virus Keeps Spreading in Masaya,Masaya,Masaya,11.97444,-86.09416999999999,NI,130113.0,0
138,Spike of Pneumonia Cases in Springfield,Springfield,Springfield,37.21533,-93.29824,US,166810.0,0
140,Zika case reported in Jupiter,Jupiter,Jupiter,26.93422,-80.09421,US,62707.0,0
141,Zika virus confirmed in Westchester,Westchester,Westchester,25.754820000000002,-80.32727,US,29862.0,0
142,Authorities are Worried about the Spread of Tuberculosis in Abuja,Abuja,Abuja,9.05785,7.495080000000001,NG,590400.0,2
143,Rumors about Hepatitis D Spreading in San Juan Capistrano have been Refuted,San Juan Capistrano,San Juan Capistrano,33.50169,-117.66255,US,36454.0,0
144,The Spread of Measles in Spokane has been Confirmed,Spokane,Spokane,47.659659999999995,-117.42908,US,213272.0,0
145,Zika alert for Rio Grande Valley residents,Rio Grande,Río Grande,-53.787690000000005,-67.70945999999999,AR,52681.0,0
146,Zika symptoms spotted in Colombo,Colombo,Colombo,6.93548,79.84868,LK,648034.0,1
147,West Nile Virus Outbreak in Louisville,Louisville,Louisville,38.25424,-85.75941,US,243639.0,0
148,New details in Baton Rouge cop killings,Baton Rouge,Baton Rouge,30.44332,-91.18746999999999,US,228590.0,0
149,Hepatitis B has not Left Florence,Florence,Florence,43.77925,11.246260000000001,IT,349296.0,2
150,More Zika patients reported in Pensacola,Pensacola,Pensacola,30.42131,-87.21691,US,53193.0,0
151,Outbreak of Zika in Corpus Christi,Corpus Christi,Corpus Christi,27.80058,-97.39638000000001,US,324074.0,0
152,How to Avoid Rhinovirus in Lemon Grove,Lemon Grove,Lemon Grove,32.74255,-117.03142,US,26709.0,0
153,Rumors about Rotavirus spreading in Huntsville have been refuted,Huntsville,Huntsville,34.7304,-86.58594000000001,US,190582.0,0
154,Rhinovirus has Arrived in Athens,Athens,Athens,37.98376,23.72784,GR,664046.0,2
155,Outbreak of Zika in Panama City,Panama City,Panama City,30.15946,-85.65983,US,38286.0,0
157,Measles has not Left Brooklyn,Brooklyn,Brooklyn,40.6501,-73.94958000000001,US,2300664.0,0
158,Escondido neighborhood to get sprayed for Zika virus,Escondido,Escondido,33.119209999999995,-117.08641999999999,US,151451.0,0
159,"Zika in Belmont, Belmont worry",Belmont,Belmont,37.52021,-122.2758,US,27218.0,0
160,Influenza has not Left Sacramento,Sacramento,Sacramento,38.58157,-121.4944,US,490712.0,0
161,Veracruz hit by Zika Concerns,Veracruz,Veracruz,19.18095,-96.1429,MX,428323.0,0
162,Case of Mumps Reported in Dayton,Dayton,Dayton,39.75895,-84.19161,US,140599.0,0
163,Authorities are Worried about the Spread of Dengue in Kingston,Kingston,Kingston,17.997020000000003,-76.79358,JM,937700.0,0
164,Gainesville Deals with Disease Concerns,Gainesville,Gainesville,29.651629999999997,-82.32483,US,130128.0,0
165,Montevideo Encounters Severe Symptoms of Rotavirus,Montevideo,Montevideo,-34.90328,-56.188159999999996,UY,1270737.0,0
166,Varicella Keeps Spreading in Detroit,Detroit,Detroit,42.33143,-83.04575,US,677116.0,0
167,Arhus is infested with Bronchitis,Arhus,Århus,56.15674,10.21076,DK,237551.0,2
168,Zika Troubles come to Niteroi,Niteroi,Niterói,-22.883329999999997,-43.103609999999996,BR,456456.0,0
169,Zika cases in Singapore reach 393,Singapore,Singapore,1.28967,103.85007,SG,3547809.0,1
170,Manhattan Residents Recieve HIV vaccine,Manhattan,Manhattan,40.783429999999996,-73.96625,US,1487536.0,0
171,Zika arrives in Miri,Miri,Miri,4.39928,113.99163,MY,228212.0,1
172,Rumors about Dengue Spreading in Syracuse have been Refuted,Syracuse,Syracuse,43.048120000000004,-76.14742,US,144142.0,0
173,Will Norovirus vaccine help Raleigh?,Raleigh,Raleigh,35.7721,-78.63861,US,451066.0,0
174,Lower Hospitalization in Auckland after Hepatitis D Vaccine becomes Mandatory,Auckland,Auckland,-36.84853,174.76349,NZ,417910.0,1
175,How to Avoid Gonorrhea in Shreveport,Shreveport,Shreveport,32.52515,-93.75018,US,197204.0,0
176,Ithaca is infested with Dengue,Ithaca,Ithaca,42.44063,-76.49661,US,30788.0,0
177,Will MCD vaccine help Strasbourg?,Strasbourg,Strasbourg,48.58392,7.7455300000000005,FR,274845.0,2
178,New medicine wipes out Measles in Fresno,Fresno,Fresno,36.74773,-119.77237,US,520052.0,0
179,BREAKING - Zika in Missoula,Missoula,Missoula,46.87215,-113.994,US,71022.0,0
180,Zika arrives in Santos,Santos,Santos,-23.960829999999998,-46.33361,BR,411403.0,0
181,Sick Livestock Leads to Serious Trouble for Belfort,Belfort,Belfort,47.642179999999996,6.85385,FR,54562.0,2
182,Hepatitis E has not Left Libreville,Libreville,Libreville,0.39241,9.453560000000001,GA,578156.0,2
183,New medicine wipes out Chikungunya in Tucson,Tucson,Tucson,32.221740000000004,-110.92648,US,531641.0,0
184,Norovirus has Arrived in Winnipeg,Winnipeg,Winnipeg,49.8844,-97.14704,CA,632063.0,0
185,Hepatitis B Comes to Kansas City,Kansas City,Kansas City,39.09973,-94.57857,US,475378.0,0
186,More Patients in Cambridge are Getting Diagnosed with Chickenpox,Cambridge,Cambridge,52.2,0.11667000000000001,GB,158434.0,2
187,Chikungunya Exposure in Toledo,Toledo,Toledo,41.663940000000004,-83.55521,US,279789.0,0
188,Is Lafayette prepared to combat Zika?,Lafayette,Lafayette,30.224090000000004,-92.01984,US,127657.0,0
189,Mecca tests new cure for Chikungunya,Mecca,Mecca,21.42664,39.82563,SA,1323624.0,2
190,Zika arrives in San Benito,San Benito,San Benito,16.91675,-89.91898,GT,30764.0,0
191,Syphilis Outbreak in Harrisburg,Harrisburg,Harrisburg,40.2737,-76.88441999999999,US,49081.0,0
192,Zika Arrives in North Miami,North Miami,North Miami,25.89009,-80.18670999999999,US,62435.0,0
193,Urbana Encounters Severe Symptoms of Meningitis,Urbana,Urbana,40.11059,-88.20727,US,42311.0,0
194,Pittsburgh Residents Recieve Norovirus vaccine,Pittsburgh,Pittsburgh,40.44062,-79.99589,US,304391.0,0
195,Chikungunya Hits Denver,Denver,Denver,39.73915,-104.9847,US,682545.0,0
196,Zika case recorded in Tunapuna >>,Tunapuna,Tunapuna,10.65245,-61.388780000000004,TT,17758.0,0
197,Spike of Respiratory Syncytial Virus Cases in Mandalay,Mandalay,Mandalay,21.974729999999997,96.08359,MM,1208099.0,1
198,HIV Keeps Spreading in Boulder,Boulder,Boulder,40.014990000000004,-105.27055,US,107349.0,0
199,More Zika patients reported in Joao Pessoa,Joao Pessoa,João Pessoa,-7.115,-34.86306,BR,650883.0,2
200,Will Tuberculosis vaccine help Rockville?,Rockville,Rockville,39.084,-77.15276,US,66980.0,0
201,Mad Cow Disease Re-emerges in Chatham,Chatham,Chatham,51.37891,0.52786,GB,75509.0,2
202,Zika Virus Arrives in Ontario,Ontario,Ontario,34.063340000000004,-117.65088999999999,US,171214.0,0
203,Mad Cow Disease Hits Naples,Naples,Naples,40.85216,14.26811,IT,959470.0,2
204,More Zika patients reported in Davao,Davao,Davao,7.073060000000001,125.61278,PH,1212504.0,1
205,The Spread of Chikungunya in Arcadia has been Confirmed,Arcadia,Arcadia,34.13973,-118.03533999999999,US,58408.0,0
206,Oxford tests new cure for HIV,Oxford,Oxford,51.75222,-1.25596,GB,171380.0,2
207,Outbreak of Zika in Stephenville,Stephenville,Stephenville,32.2207,-98.20226,US,20120.0,0
208,Providence Encounters Severe Symptoms of Dengue,Providence,Providence,41.82399,-71.41283,US,179207.0,0
209,Tests negative on Windsor Zika carriers,Windsor,Windsor,42.30008,-83.01654,CA,278013.0,0
210,Zika battle outlined at Valdosta meeting,Valdosta,Valdosta,30.833340000000003,-83.28031999999999,US,55724.0,0
211,Zika case reported in Coral Gables,Coral Gables,Coral Gables,25.72149,-80.26838000000001,US,51117.0,0
