,headline,cities,accented_city,latitude,longitude,countrycode,pop,cluster
212,Hepatitis C Outbreak in Danbury,Danbury,Danbury,41.39482,-73.45401,US,84657.0,0
213,Chickenpox has Arrived in Chula Vista,Chula Vista,Chula Vista,32.64005,-117.0842,US,265757.0,0
215,Will HIV vaccine help Las Vegas?,Las Vegas,Las Vegas,36.17497,-115.13722,US,623747.0,0
216,Zika arrives in West Palm Beach,West Palm Beach,West Palm Beach,26.71534,-80.05337,US,106779.0,0
217,Mobile authorities confirmed the spread of Bronchitis,Mobile,Mobile,30.694359999999996,-88.04305,US,194288.0,0
218,Zika spreads to Daytona Beach,Daytona Beach,Daytona Beach,29.21081,-81.02283,US,64736.0,0
219,Lausanne Residents Recieve Meningitis vaccine,Lausanne,Lausanne,46.516000000000005,6.63282,CH,116751.0,2
220,Rhinovirus Comes to San Jose,San Jose,San Jose,37.33939,-121.89496000000001,US,1026908.0,0
221,Spike of Chlamydia Cases in Farmington,Farmington,Farmington,36.72806,-108.21869,US,42871.0,0
222,Authorities are Worried about the Spread of Rotavirus in Union,Union,Union,40.6976,-74.2632,US,56771.0,0
223,Rumors about Hepatitis D spreading in Albany have been refuted,Albany,Albany,42.65258,-73.75623,US,98469.0,0
224,Zika symptoms spotted in Bello,Bello,Bello,6.33732,-75.55795,CO,392939.0,0
225,Will Meningitis vaccine help Hamburg?,Hamburg,Hamburg,53.55073,9.99302,DE,1739117.0,2
226,Madera Patient in Critical Condition after Contracting Rabies,Madera,Madera,36.96134,-120.06071999999999,US,64208.0,0
227,Zika Virus Detected in Lubbock,Lubbock,Lubbock,33.57786,-101.85517,US,249042.0,0
228,Malaria re-emerges in Boise,Boise,Boise,43.6135,-116.20345,US,145987.0,0
229,Varicella re-emerges in Lagos,Lagos,Lagos,6.45407,3.3946699999999996,NG,9000000.0,2
230,Vericella spreading in Ibadan,Ibadan,Ibadan,7.377560000000001,3.90591,NG,3565108.0,2
231,Schools in Birmingham Closed Due to Measles Outbreak,Birmingham,Birmingham,52.48141999999999,-1.89983,GB,984333.0,2
232,How to Avoid Hepatitis B in Waldorf,Waldorf,Waldorf,38.624559999999995,-76.93914000000001,US,67752.0,0
235,Tuberculosis Outbreak in Newark,Newark,Newark,40.735659999999996,-74.17237,US,281944.0,0
236,Zika Virus Sparks 'International Concern',Sparks,Sparks,39.534909999999996,-119.75268999999999,US,96094.0,0
237,Spike of Chlamydia Cases in Berlin,Berlin,Berlin,52.52437,13.41053,DE,3426354.0,2
238,Zika-carrying mosquitoes discovered in Ardmore,Ardmore,Ardmore,34.17426,-97.14363,US,25176.0,0
239,"Zika Mosquitoes May Have Bred in Bromeliads, Florida Officials Say",Florida,Florida,21.52536,-78.22579,CU,63007.0,0
240,More Livestock in Fontainebleau are infected with Mad Cow Disease,Fontainebleau,Fontainebleau,48.409079999999996,2.7017700000000002,FR,19717.0,2
241,Frisco Woman Tests Positive For Zika Virus,Frisco,Frisco,33.15067,-96.82361,US,154407.0,0
242,Authorities are Worried about the Spread of Norovirus in Dubai,Dubai,Dubai,25.07725,55.30927,AE,2956587.0,2
243,Benton Residents Recieve Pneumonia vaccine,Benton,Benton,34.56454,-92.58683,US,34177.0,0
244,Case of Hepatitis A Reported in Calgary,Calgary,Calgary,51.05011,-114.08528999999999,CA,1019942.0,0
245,Zika Outbreak in Pinewood,Pinewood,Pinewood,25.86898,-80.21699,US,16520.0,0
246,Will Swine Flu vaccine help Ljubljana?,Ljubljana,Ljubljana,46.05108,14.50513,SI,272220.0,2
247,Bronchitis re-emerges in Tehran,Tehran,Tehran,35.694390000000006,51.42151,IR,7153309.0,2
249,Mad Cow case in Murcia,Murcia,Murcia,37.98704,-1.13004,ES,436870.0,2
250,Mad Cow Disease Spreads to Margate,Margate,Margate,51.38132,1.3861700000000001,GB,60134.0,2
251,Zika Strikes St. Petersburg,St. Petersburg,St. Petersburg,27.77086,-82.67926999999999,US,257083.0,0
253,Will the Mad Cow Outbreak Reach Vienna?,Vienna,Vienna,48.208490000000005,16.37208,AT,1691468.0,2
254,More Patients in Orange are Getting Diagnosed with Chickenpox,Orange,Orange,33.78779,-117.85311000000002,US,140992.0,0
255,Lower Hospitalization in Richmond after Mumps Vaccine becomes Mandatory,Richmond,Richmond,37.55376,-77.46025999999999,US,220289.0,0
256,Meningitis re-emerges in Medina,Medina,Medina,24.46861,39.61417,SA,1300000.0,2
258,Four cases of Zika in Hidalgo County,Hidalgo,Hidalgo,25.97205,-100.45029,MX,16524.0,0
259,Zika symptoms spotted in Hollywood,Hollywood,Hollywood,34.09834,-118.32673999999999,US,167664.0,0
260,Zika arrives in Oaxaca,Oaxaca,Oaxaca,17.06542,-96.72365,MX,255029.0,0
261,More people in Durham are infected with Chlamydia every year,Durham,Durham,35.99403,-78.89862,US,257636.0,0
262,Authorities are Worried about the Spread of Gonorrhea in Taoyuan City,Taoyuan City,Taoyuan City,24.993679999999998,121.29696000000001,TW,402014.0,1
263,Swine Flu re-emerges in La Jolla,La Jolla,La Jolla,32.84727,-117.2742,US,42808.0,0
264,Tuberculosis Outbreak in Hartford,Hartford,Hartford,41.763709999999996,-72.68509,US,124006.0,0
265,Rumors about Mumps Spreading in New Bedford have been Refuted,New Bedford,New Bedford,41.635259999999995,-70.92701,US,94958.0,0
266,Respiratory Syncytial Virus Vaccine is now Required in Tulsa,Tulsa,Tulsa,36.15398,-95.99277,US,403505.0,0
267,More people in Indianapolis are infected with Norovirus every year,Indianapolis,Indianapolis,39.76838,-86.15804,US,829718.0,0
268,Lower Hospitalization in Dhaka after Measles Vaccine becomes Mandatory,Dhaka,Dhāka,26.67479,85.16698000000001,IN,36111.0,1
269,Albany Residents Recieve Respiratory Syncytial Virus vaccine,Albany,Albany,42.65258,-73.75623,US,98469.0,0
271,Rotavirus Vaccine is now Required in Starkville,Starkville,Starkville,33.45049,-88.81961,US,25366.0,0
272,Schools in Yaounde Closed Due to Mumps Outbreak,Yaounde,Yaoundé,3.8666699999999996,11.51667,CM,1299369.0,2
273,More people in Nadi are infected with HIV every year,Nadi,Nadi,-17.80309,177.41617,FJ,42284.0,1
274,Tocumen tests new cure for Hepatitis A,Tocumen,Tocumen,9.08939,-79.3831,PA,50844.0,0
275,Phnom Penh hit by Zika Threat,Phnom Penh,Phnom Penh,11.56245,104.91601000000001,KH,1573544.0,1
276,Zika Troubles come to Harlingen,Harlingen,Harlingen,26.19063,-97.6961,US,65774.0,0
277,Zika spreads to Barranquilla,Barranquilla,Barranquilla,10.968539999999999,-74.78132,CO,1380425.0,0
278,Milwaukee authorities confirmed the spread of Rhinovirus,Milwaukee,Milwaukee,43.0389,-87.90647,US,600155.0,0
279,Mad Cow Disease Hits Rotterdam,Rotterdam,Rotterdam,51.9225,4.47917,NL,598199.0,2
280,Zika symptoms spotted in Arlington,Arlington,Arlington,32.735690000000005,-97.10807,US,388125.0,0
281,West Nile Virus Hits Yogyakarta,Yogyakarta,Yogyakarta,-7.80139,110.36471999999999,ID,636660.0,1
282,More Patients in Dublin are Getting Diagnosed with Bronchitis,Dublin,Dublin,53.333059999999996,-6.24889,IE,1024027.0,2
283,Rumors about Tuberculosis Spreading in Baud have been Refuted,Baud,Baud,20.83773,84.32618000000001,IN,18945.0,1
284,Rumors about West Nile Virus Spreading in Salem have been Refuted,Salem,Salem,11.65376,78.15538000000001,IN,778396.0,1
285,St. Catharines Patient in Critical Condition after Contracting Dengue,St. Catharines,St. Catharines,43.17126,-79.24266999999999,CA,131989.0,0
287,More Zika patients reported in Camacari,Camacari,Camaçari,-12.6975,-38.32417,BR,188758.0,2
288,Outbreak of Zika in Pasig City,Pasig City,Pasig City,14.586910000000001,121.0614,PH,617301.0,1
289,Zika Troubles come to Kampong Cham,Kampong Cham,Kampong Cham,11.99339,105.4635,KH,61750.0,1
290,Zika case reported in Rizal,Rizal,Rizal,15.7118,121.1061,PH,26201.0,1
291,Zika Spreads to Palm Beach Gardens,Palm Beach Gardens,Palm Beach Gardens,26.823390000000003,-80.13865,US,52923.0,0
292,More people in Saint Petersburg are infected with Varicella every year,Saint Petersburg,Saint Petersburg,59.93863,30.31413,RU,5028000.0,2
293,Spike of Herpes Cases in Meriden,Meriden,Meriden,41.53815,-72.80704,US,59988.0,0
294,Zika case reported in Abilene,Abilene,Abilene,32.44874,-99.73314,US,121721.0,0
295,Outbreak of Zika in Palm Springs,Palm Springs,Palm Springs,33.8303,-116.54529,US,47371.0,0
296,Halifax is infested with Swine Flu,Halifax,Halifax,44.6464,-63.57291,CA,359111.0,0
297,Zika arrives in Natal,Natal,Natal,-5.795,-35.20944,BR,763043.0,2
298,Herpes Keeps Spreading in Rochester,Rochester,Rochester,43.15478,-77.61556,US,209802.0,0
299,Zika case reported in Phetchabun,Phetchabun,Phetchabun,16.41904,101.16056,TH,50656.0,1
300,How to Avoid Pneumonia in Bullhead City,Bullhead City,Bullhead City,35.14778,-114.5683,US,39445.0,0
301,West Nile Virus re-emerges in Wellington,Wellington,Wellington,-41.286640000000006,174.77557,NZ,381900.0,1
302,Rumors about Pneumonia spreading in Ottawa have been refuted,Ottawa,Ottawa,45.41117,-75.69811999999999,CA,812129.0,0
303,Meningitis re-emerges in Summerville,Summerville,Summerville,33.0185,-80.17565,US,48848.0,0
304,Pneumonia Symptoms Spread all over Bloomington,Bloomington,Bloomington,44.8408,-93.29828,US,86435.0,0
305,More Patients in Stuttgart are Getting Diagnosed with Rabies,Stuttgart,Stuttgart,48.78232,9.177019999999999,DE,589793.0,2
306,Schools in Glasgow Closed Due to Hepatitis B Outbreak,Glasgow,Glasgow,55.86515,-4.257630000000001,GB,591620.0,2
307,Phoenix Residents Recieve Syphilis vaccine,Phoenix,Phoenix,33.44838,-112.07404,US,1563025.0,0
309,Spanish flu spreading in Madrid,Madrid,Madrid,40.4165,-3.70256,ES,3255944.0,2
310,Rabies Hits Madrid,Madrid,Madrid,40.4165,-3.70256,ES,3255944.0,2
311,Zika Outbreak in Weslaco,Weslaco,Weslaco,26.15952,-97.99084,US,39474.0,0
312,How to Avoid Chlamydia in Santiago,Santiago,Santiago,-33.45694,-70.64827,CL,4837295.0,0
313,Rotavirus Vaccine is now Required in Las Cumbres,Las Cumbres,Las Cumbres,9.089160000000001,-79.52809,PA,69102.0,0
315,Mad Cow Outbreak Spreading in Ennis,Ennis,Ennis,52.84361,-8.98639,IE,24427.0,2
316,Southampton Patient in Critical Condition after Contracting Tuberculosis,Southampton,Southampton,50.90395,-1.40428,GB,246201.0,2
317,The Spread of Rhinovirus in Boardman has been Confirmed,Boardman,Boardman,41.024229999999996,-80.66285,US,35376.0,0
318,Richland Center is infested with Hepatitis B,Richland,Richland,46.28569,-119.28446000000001,US,54248.0,0
319,Authorities are Worried about the Spread of Chickenpox in Richmond,Richmond,Richmond,37.55376,-77.46025999999999,US,220289.0,0
320,Chikungunya re-emerges in Kobe,Kobe,Kobe,34.6913,135.183,JP,1528478.0,1
321,Malaria Vaccine is now Required in Schenectady,Schenectady,Schenectady,42.814240000000005,-73.93956999999999,US,65305.0,0
322,Hepatitis D has Arrived in Grenoble,Grenoble,Grenoble,45.17869,5.71479,FR,158552.0,2
323,West Nile Virus Symptoms Spread all over Yerevan,Yerevan,Yerevan,40.18111,44.51361,AM,1093485.0,2
324,Zika Outbreak in Sincelejo,Sincelejo,Sincelejo,9.30472,-75.39778000000001,CO,261187.0,0
325,Rumors about HIV spreading in Montpellier have been refuted,Montpellier,Montpellier,43.61092,3.8772300000000004,FR,248252.0,2
326,Praia tests new cure for Pneumonia,Praia,Praia,14.93152,-23.512539999999998,CV,113364.0,2
328,Lower Hospitalization in Lakewood after Hepatitis B Vaccine becomes Mandatory,Lakewood,Lakewood,39.70471,-105.08136999999999,US,152597.0,0
329,Zika spreads to Kuching,Kuching,Kuching,1.55,110.33333,MY,570407.0,1
330,Spike of Rotavirus Cases in Omaha,Omaha,Omaha,41.25626,-95.94043,US,443885.0,0
331,Tuberculosis re-emerges in Silver Springs,Springs,Springs,-26.25,28.4,ZA,186394.0,2
332,Will West Nile Virus vaccine help Coronado?,Coronado,Coronado,32.68589,-117.18308999999999,US,24812.0,0
333,Zika case confirmed in Lorain,Lorain,Lorain,41.45282,-82.18236999999999,US,63647.0,0
334,Chickenpox Hits Simpsonville,Simpsonville,Simpsonville,34.73706,-82.25428000000001,US,20736.0,0
335,Framingham Residents Receive Measles vaccine,Framingham,Framingham,42.27926,-71.41617,US,68318.0,0
336,Rumors about Mad Cow Disease Brighton have been Refuted,Brighton,Brighton,50.828379999999996,-0.13947,GB,139001.0,2
337,Zika case reported in Jacobina,Jacobina,Jacobina,-11.18143,-40.51372,BR,47637.0,0
338,Bridgeport authorities confirmed the spread of West Nile Virus,Bridgeport,Bridgeport,41.17923,-73.18945,US,147629.0,0
340,Measles Vaccine is now Required in Wailuku,Wailuku,Wailuku,20.89133,-156.50603999999998,US,15313.0,0
341,Zika symptoms spotted in Surat,Surat,Surat,21.19594,72.83023,IN,2894504.0,1
343,More contaminated cattle reported in Bedford,Bedford,Bedford,52.13459,-0.46631999999999996,GB,106940.0,2
344,Zika in Tamarac!,Tamarac,Tamarac,26.21286,-80.24977,US,64681.0,0
345,Will Measles vaccine help Milford?,Milford,Milford,41.22232,-73.0565,US,52759.0,0
346,Spike of Norovirus Cases in Huddersfield,Huddersfield,Huddersfield,53.64904,-1.7841599999999997,GB,149017.0,2
347,Rhinovirus Hits Bakersfield,Bakersfield,Bakersfield,35.373290000000004,-119.01871000000001,US,373640.0,0
348,Lower Hospitalization in Papeete after Measles Vaccine becomes Mandatory,Papeete,Papeete,-17.537329999999997,-149.5665,PF,26357.0,0
349,Zika arrives in Udon Thani,Udon Thani,Udon Thani,17.415670000000002,102.78589000000001,TH,247231.0,1
350,Spike of Dengue Cases in Stockholm,Stockholm,Stockholm,59.32938000000001,18.06871,SE,1515017.0,2
351,More people in Berkeley are infected with Swine Flu every year,Berkeley,Berkeley,37.871590000000005,-122.27275,US,120972.0,0
353,Zika only the latest mosquito-borne threat to New Orleans,New Orleans,New Orleans,29.95465,-90.07507,US,389617.0,0
354,Will Swine Flu vaccine help Annapolis?,Annapolis,Annapolis,38.978590000000004,-76.49184,US,39474.0,0
355,Lower Hospitalization in Monroe after Hepatitis D Vaccine becomes Mandatory,Monroe,Monroe,32.50931,-92.1193,US,49598.0,0
356,New medicine wipes out Dengue in Saginaw,Saginaw,Saginaw,43.419470000000004,-83.95081,US,49347.0,0
357,Spike of Rhinovirus Cases in Sevierville,Sevierville,Sevierville,35.86815,-83.56184,US,16490.0,0
358,Duisburg up in Arms over Mad Cow Disease,Duisburg,Duisburg,51.43247,6.765160000000001,DE,504358.0,2
359,New medicine wipes out Mumps in Saint Charles,Saint Charles,Saint Charles,38.78394,-90.48123000000001,US,65794.0,0
360,Case of Chikungunya Reported in Gaithersburg,Gaithersburg,Gaithersburg,39.143440000000005,-77.20137,US,67456.0,0
361,How to Avoid Respiratory Syncytial Virus in San Bernardino,San Bernardino,San Bernardino,34.108340000000005,-117.28976999999999,US,216108.0,0
362,Laventille authorities confirmed the spread of Rhinovirus,Laventille,Laventille,10.64917,-61.49889,TT,21000.0,0
363,More Zika patients reported in Waco,Waco,Waco,31.549329999999998,-97.14667,US,132356.0,0
364,Will Herpes vaccine help Newcastle?,Newcastle,Newcastle,-27.757959999999997,29.9318,ZA,404838.0,2
365,Erie County sets Zika traps,Erie,Erie,42.129220000000004,-80.08506,US,99475.0,0
367,How to Avoid Norovirus in Greenville,Greenville,Greenville,35.61266,-77.36635,US,90597.0,0
368,More Zika patients reported in Calumpang,Calumpang,Calumpang,14.6228,121.0897,PH,15589.0,1
369,Zika symptoms spotted in Quisqueya,Quisqueya,Quisqueya,18.55542,-69.40814,DO,17694.0,0
370,Rumors about Hepatitis D Spreading in Montreal have been Refuted,Montreal,Montréal,45.50884,-73.58781,CA,1600000.0,0
371,Zika symptoms spotted in Fortaleza,Fortaleza,Fortaleza,-3.7172199999999997,-38.54306,BR,2400000.0,2
372,Rumors about Bronchitis spreading in Bundaberg have been refuted,Bundaberg,Bundaberg,-24.86621,152.3479,AU,70826.0,1
373,Hepatitis A re-emerges in Stamford,Stamford,Stamford,41.05343,-73.53873,US,128874.0,0
374,Schools in Huntington Closed Due to Rotavirus Outbreak,Huntington,Huntington,38.41925,-82.44515,US,48638.0,0
375,Will Mad Cow Vaccine Help Bristol?,Bristol,Bristol,51.45523,-2.59665,GB,617280.0,2
376,Chickenpox Comes to Stillwater,Stillwater,Stillwater,36.11561,-97.05837,US,48967.0,0
377,The Spread of Meningitis in Imperial has been Confirmed,Imperial,Imperial,-13.05927,-76.35269,PE,32344.0,0
380,Case of Measles Reported in Springdale,Springdale,Springdale,36.18674,-94.12881,US,77859.0,0
381,Norwalk Encounters Severe Symptoms of Malaria,Norwalk,Norwalk,33.90224,-118.08173000000001,US,107140.0,0
382,Zika arrives in Orange City,Orange,Orange,33.78779,-117.85311000000002,US,140992.0,0
383,Pilsen Encounters Severe Symptoms of Malaria,Pilsen,Pilsen,49.74747,13.37759,CZ,164180.0,2
384,Will Hepatitis B vaccine help La Paz?,La Paz,La Paz,-16.5,-68.15,BO,812799.0,0
385,Zika Outbreak in Puducherry,Puducherry,Puducherry,11.933810000000001,79.82979,IN,227411.0,1
386,More Zika patients reported in Carrollton,Carrollton,Carrollton,32.95373,-96.89028,US,133168.0,0
387,Will Rabies vaccine help Tangier?,Tangier,Tangier,35.76727,-5.79975,MA,688356.0,2
388,Zika symptoms spotted in Iquitos,Iquitos,Iquitos,-3.7491199999999996,-73.25383000000001,PE,437620.0,0
389,West Nile Virus Exposure in Racine,Racine,Racine,42.72613,-87.78285,US,77742.0,0
390,The Spread of Hepatitis E in Lansing has been Confirmed,Lansing,Lansing,42.73253,-84.55553,US,115056.0,0
391,West Nile Virus Exposure in Alpharetta,Alpharetta,Alpharetta,34.075379999999996,-84.29409,US,63693.0,0
392,Pedro Juan Caballero Encounters Severe Symptoms of Pneumonia,Pedro Juan Caballero,Pedro Juan Caballero,-22.547220000000003,-55.73333,PY,75109.0,0
393,More Zika patients reported in Melbourne,Melbourne,Melbourne,-37.814,144.96331999999998,AU,4246375.0,1
394,Zika Troubles come to La Libertad,La Libertad,La Libertad,-2.233,-80.91039,EC,75881.0,0
395,Herpes Vaccine is now Required in Mattoon,Mattoon,Mattoon,39.483090000000004,-88.37283000000001,US,18113.0,0
396,Kent is infested with Rabies,Kent,Kent,47.38093,-122.23483999999999,US,126952.0,0
397,Zika symptoms spotted in Bonita Springs,Bonita Springs,Bonita Springs,26.339809999999996,-81.7787,US,51704.0,0
398,The Spread of Malaria in Brazzaville has been Confirmed,Brazzaville,Brazzaville,-4.26613,15.283179999999998,CG,1284609.0,2
399,More Zika patients reported in Fort Myers,Fort Myers,Fort Myers,26.621679999999998,-81.84059,US,74013.0,0
400,Zika spreads to Lewisville,Lewisville,Lewisville,33.04623,-96.99417,US,104039.0,0
401,Ogden is infested with Gonorrhea,Ogden,Ogden,41.223,-111.97383,US,85444.0,0
402,Fort Hood Reports its First Zika Patient,Fort Hood,Fort Hood,31.134890000000002,-97.77561,US,29589.0,0
403,Huzhou Residents Receive Hepatitis B vaccine,Huzhou,Huzhou,30.8703,120.0933,CN,158320.0,1
404,New medicine wipes out Rabies in Newburgh,Newburgh,Newburgh,41.50343,-74.01042,US,28290.0,0
405,Iowa City Encounters Severe Symptoms of Rhinovirus,Iowa City,Iowa City,41.66113,-91.53017,US,74220.0,0
406,Spike of Rabies Cases in Managua,Managua,Managua,12.132819999999999,-86.2504,NI,973087.0,0
407,Outbreak of Zika in Santa Elena,Santa Elena,Santa Elena,-2.22622,-80.85873000000001,EC,42214.0,0
408,Mumps Hits Howard Beach,Howard Beach,Howard Beach,40.65788,-73.83625,US,26148.0,0
409,The Spread of Gonorrhea in Reno has been Confirmed,Reno,Reno,39.52963,-119.8138,US,241445.0,0
410,How to Avoid Rhinovirus in Plainfield,Plainfield,Plainfield,40.63371,-74.40737,US,51217.0,0
411,Rumors about Varicella spreading in Carlsbad have been refuted,Carlsbad,Carlsbad,33.15809,-117.35059,US,113453.0,0
412,Scranton authorities confirmed the spread of Gonorrhea,Scranton,Scranton,41.40916,-75.6649,US,77118.0,0
413,Mad Cow Disease Disastrous to Brussels,Brussels,Brussels,50.85045,4.3487800000000005,BE,1019022.0,2
414,Zika spreads to Olinda,Olinda,Olinda,-8.00889,-34.85528,BR,366754.0,2
415,Hallandale Beach a Victim of Zika Outbreak,Hallandale Beach,Hallandale Beach,25.9812,-80.14838,US,39488.0,0
416,Rhinovirus re-emerges in Storrs,Storrs,Storrs,41.80843,-72.24951999999999,US,15344.0,0
417,Germantown authorities confirmed the spread of Chickenpox,Germantown,Germantown,39.173159999999996,-77.27165,US,86395.0,0
418,Rumors about Rotavirus spreading in North Platte have been refuted,North Platte,North Platte,41.12389,-100.76541999999999,US,24194.0,0
419,Spike of Hepatitis C Cases in Golden,Golden,Golden,39.75554,-105.2211,US,20330.0,0
420,Authorities are Worried about the Spread of Hepatitis D in Ganja,Ganja,Ganja,40.68278,46.36056,AZ,313300.0,2
421,Dengue Exposure in Kathmandu,Kathmandu,Kathmandu,27.701690000000003,85.3206,NP,1442271.0,1
422,Tuberculosis has Arrived in Fairfield,Fairfield,Fairfield,38.249359999999996,-122.03997,US,112970.0,0
423,Outbreak of Zika in Kozhikode,Kozhikode,Kozhikode,11.24802,75.7804,IN,439922.0,1
424,Bronchitis Symptoms Spread all over Santa Fe,Santa Fe,Santa Fe,-31.648809999999997,-60.70868000000001,AR,489505.0,0
425,More Patients in Alexandria are Getting Diagnosed with Mumps,Alexandria,Alexandria,31.201759999999997,29.91582,EG,3811516.0,2
426,Pneumonia Exposure in Alhambra,Alhambra,Alhambra,33.49838,-112.13432,US,127764.0,0
427,Hepatitis C re-emerges in Damascus,Damascus,Damascus,33.5102,36.29128,SY,1569394.0,2
